CATEGORY	DATE	TWEET
Crypto	2022-03-23	Current #Bitcoin Price is $42848 #BTC #Crypto
Crypto	2022-03-23	@MetaMatrixCoin It's a nice and amazing project, I can sense a lot of prospects behind this project.Thanks to brilliance team! @congrats_win @bestiebigwin @bigwin200 #matrixcoin #mc #matrixcoinmc #mctoken #matrixswap #btc
Crypto	2022-03-23	"@mcshane_writes @nayibbukele Those whom will struggle the most in the New Economy, will be those who try to drag their ""old money"" paradigms around with them.. #Crypto #bitcoin #btc #dogecoin #Ethereum"
Crypto	2022-03-23	@WhaleCartel @whalecartelNFT Congratulations on the release and for the successful team always @fadilah019 @Yaniarsil95 @gngr_kmrn #BTC #bitcoin #Crypto #NFT
Crypto	2022-03-23	I need your help...plz donate me... I am bankrupt.. my store is ruined last year January please help me.. I have $96000 debt...please donate me.... My Ethereum Wallet 0x7d1043572ec65cb665c7b2639e4b50b1557b8dc4 #dubai #uae #saudi #helpme #btc #bts #donate
Crypto	2022-03-23	@dergigi Game theory and network effects is a MF. See you all on the other side of clown world friendswhere we will dance under the orange sky #btc
Crypto	2022-03-23	"@CryptoMarkwill @BitcoinMagazine @nayibbukele Those whom will struggle the most in the New Economy, will be those who try to drag their ""old money"" paradigms around with them.. #Crypto #bitcoin #btc"
Crypto	2022-03-23	$1,776,588 BTCUSDT SHORTED @$43,000.00 on #Binance (23:57:38 UTC) #BTC #cryptocurrency
Crypto	2022-03-23	$1,120,900 BTCUSD SHORTED @$42,991.3 on #Binance (23:57:35 UTC) #BTC #cryptocurrency
Crypto	2022-03-23	BEARWHALE! just SHORTED $3,172,225 worth of #Bitcoin #BTC at $42,980 on #Binance Futures
Crypto	2022-03-23	Give a man a gun and he can rob the bank. Give a man a bank and he can rob the world #Hyperinflation #BTC #cryptocurrencies #Banks
Crypto	2022-03-23	$1,007,100 BTCUSD SHORTED @$43,014.4 on #Binance (23:57:39 UTC) #BTC #cryptocurrency
Crypto	2022-03-23	@11MinutesNFT This will certainly be a successful project as it has a great team that is more than qualified and focused on making this project a success. #11MINUTES #BTC #CRYPTO
Crypto	2022-03-23	One coin that i strongly believe will do well in the upcoming months is @Chromia. Definitely one to keep an eye on! #CHR #chromia #bullish #Metaverse #Btc #cryptocurrency
Crypto	2022-03-23	@OceanMollu @clover_finance @clv_org I believe this is a faithful project.The projector has a lot of attractions so hopefully the project will be better in the future best. I love it.. @AkiburR9 @habiburislam658 @NaimSaymon #Airdrops #BNB #BTC #cryptocurrency #ETH
Crypto	2022-03-23	4307) Current #Bitcoin Price is $42930 #BTC #Crypto Indicators Daily: -RSI: 58.1 -MA(20): 40146 -MA(50): 40712 -MA(200): 48352 -Bollinger B. lower/upper: 37040/43251 Current #Ethereum Price is $3036 #ETH -RSI: 61.8 -MA(20): 2716 -MA(50): 2811 -MA(200): 3498 -BB: 2379/3053
Crypto	2022-03-23	Earn free #BTC and multiply crypto up to 15% monthly with @betfury BOXes Enjoy the easy way to get cryptocurrency! Real rewards every 20 min Referral Bonuses 35% #betfurysuccess
Crypto	2022-03-23	Follow me on @betfury. Let's hunt for Bitcoins together! Get an exciting experience on #1 I-Gaming platform with #BTC staking payouts!.My Username: User378083 #betfurysuccess #bitcoin #staking
Crypto	2022-03-23	@CryptoSeq Probably the best week this month for #AVALANCHE The bridge between #AVAX and #BTC, and non-custodial wallet it's what we all need it
Crypto	2022-03-23	Top 10 #Cryptocurrency Live Prices: (07:55 PM . Mar 23,2022) #BTC $42840.10 #ETH $3026.72 #BNB $408.66 #DOGE $0.13 #SHIB $0.0000245188 #AXS $57.97 #MANA $2.55 #UNI $9.97 #GM $0.0000272853 #KISHU $0.0000000014 Comments! Which coins would like to be listed?
Crypto	2022-03-23	$2,152,795 BTCUSDT SHORTED @$43,000.00 on #Binance (23:57:38 UTC) #BTC #cryptocurrency
Crypto	2022-03-23	@WhaleCartel @whalecartelNFT Replying to @WhaleCartel and @whalecartelNFT I believe this is a very good project. @CryptoKaity @Alex_Hotbit @elonmusk #btc #bitcoin #crypto #NFTGiveaways bsc adress : 0x4aaF33afE187414149BB67ca44B10b6AE5d32AC0
Crypto	2022-03-23	4305) Current #Bitcoin Price is $42891 #BTC #Crypto Indicators Daily: -RSI: 58.1 -MA(20): 40145 -MA(50): 40712 -MA(200): 48352 -Bollinger B. lower/upper: 37041/43250 Current #Ethereum Price is $3031 #ETH -RSI: 61.6 -MA(20): 2716 -MA(50): 2811 -MA(200): 3498 -BB: 2380/3052
Crypto	2022-03-23	#BTC Liquidated Short: $252K at $42932.15
Crypto	2022-03-23	4306) Current #Bitcoin Price is $42949 #BTC #Crypto Indicators Daily: -RSI: 58.2 -MA(20): 40148 -MA(50): 40713 -MA(200): 48352 -Bollinger B. lower/upper: 37035/43261 Current #Ethereum Price is $3034 #ETH -RSI: 61.7 -MA(20): 2716 -MA(50): 2811 -MA(200): 3498 -BB: 2380/3053
Crypto	2022-03-23	"After this close above $42,600 #BTC send everything! Told y""all I expect a pump tonight. #SUSHI. #COMP #VET #FIL #XRP just send everything"
Crypto	2022-03-23	$3,172,224 BTCUSDT SHORTED @$42,980.00 on #Binance (23:57:14 UTC) #BTC #cryptocurrency
Crypto	2022-03-23	I really think #btc might spike upto 45k .
Crypto	2022-03-23	You don't need to ask or seek for answers especially when market dumps, as long as you are confident in your holdings. Wanna win the race? Keep your portfolio with #BTC at least 50%.
Crypto	2022-03-23	Follow me on @betfury. Let's hunt for Bitcoins together! Get an exciting experience on #1 I-Gaming platform with #BTC staking payouts!.My Username: User345107 #betfurysuccess #bitcoin #staking
Crypto	2022-03-23	#BTC should close above $42,500 for the daily in a minute. #crypto next stop 45k #ALTSEASON
Crypto	2022-03-23	Current Bitcoin Price: USD $42,942.14 GBP 32,534.03 Euro 39,026.37 #bitcoin #btc $btc #btcusd #btcgbp #btceur #crypto #cryptocurrency
Crypto	2022-03-23	@whale_alert Our analytical team has done a detailed analysis regarding #BTC, and its Fear and Greed Index is 54 - NEUTRAL at the moment with price of 42493.501012994697 usd, so what do you think about the current #Bitcoin state?
Crypto	2022-03-23	Bullish close for #BTC !! Let the uptrend begin $$$
Crypto	2022-03-23	4302) Current #Bitcoin Price is $42959 #BTC #Crypto Indicators Daily: -RSI: 58.3 -MA(20): 40148 -MA(50): 40714 -MA(200): 48352 -Bollinger B. lower/upper: 37033/43263 Current #Ethereum Price is $3038 #ETH -RSI: 61.8 -MA(20): 2716 -MA(50): 2812 -MA(200): 3498 -BB: 2379/3054
Crypto	2022-03-23	@DWhitmanBTC As long as their are Newbs, there will be a lesson to learn. #BTC lesson.
Crypto	2022-03-23	4308) Current #Bitcoin Price is $42915 #BTC #Crypto Indicators Daily: -RSI: 58.1 -MA(20): 40146 -MA(50): 40712 -MA(200): 48352 -Bollinger B. lower/upper: 37041/43250 Current #Ethereum Price is $3036 #ETH -RSI: 61.7 -MA(20): 2716 -MA(50): 2811 -MA(200): 3498 -BB: 2380/3053
Crypto	2022-03-23	4303) Current #Bitcoin Price is $42917 #BTC #Crypto Indicators Daily: -RSI: 58.2 -MA(20): 40146 -MA(50): 40713 -MA(200): 48352 -Bollinger B. lower/upper: 37039/43253 Current #Ethereum Price is $3033 #ETH -RSI: 61.7 -MA(20): 2716 -MA(50): 2811 -MA(200): 3498 -BB: 2380/3053
Crypto	2022-03-23	$1,504,769 BTCUSDT SHORTED @$42,979.90 on #Binance (23:57:14 UTC) #BTC #cryptocurrency
Crypto	2022-03-23	Whose ready to see the rules of our first giveaway make sure to like follow and retweet #NFT #ETH #BTC #USD #NFTartist #NFTGiveaways #GiveawayAlert
Crypto	2022-03-23	#btc LFGGGGGG!!!!! Close this bish above 42.5
Crypto	2022-03-23	UP - MANA/USDT Price:2.55100 Bollinger Bands ALERTS FourHour Bollinger Bands Calculation: 110.56924 #BTC #FORBUSD #Bitcoin #RS #Bollinger -It is not investment advice. You can visit our profile for your own alarms. YTD. 2:58:44 AM
Crypto	2022-03-23	@CoinHubCC @elonmusk #BabyDoge #BabyDogeArmyBR #BSC #BTC #BabyDogeArmy #BabyDogeCoinNFT #BabyDogeCoin @BabyDogeCoin zzzzzzzxzz
Crypto	2022-03-23	@_Checkmatey_ NoMo FoMo except I seriously cant stop myself from stacking #BTC daily everywhere between support &amp; resistance
Crypto	2022-03-23	bitcoin looking extra bullish of late #Bitcoin #BTC
Crypto	2022-03-23	I wonder why Chinese people can buy #BTC from exchange even they stay in China mainland my friends told me they can receive #bitcoin from customer also,that mean Chinese government can not ban #bitcoin
Crypto	2022-03-23	@BitcoinMagazine @nayibbukele Brilliant: Could also change your life. I only bought Banxa Holdings OTC: BNXAF stock. Big wins awaits. Thank me later for that hint @BanxaOfficial #btc #bitcoin #defi #nft
Crypto	2022-03-23	The latest #bitcoin block 728722 with 739 transactions was just mined by Foundry USA Total Fees:0.00730075 Block Subsidy:6.25 #Bitcoin #BTC #blockchain #analysis
Crypto	2022-03-23	4304) Current #Bitcoin Price is $42917 #BTC #Crypto Indicators Daily: -RSI: 58.1 -MA(20): 40146 -MA(50): 40713 -MA(200): 48352 -Bollinger B. lower/upper: 37039/43253 Current #Ethereum Price is $3031 #ETH -RSI: 61.7 -MA(20): 2716 -MA(50): 2811 -MA(200): 3498 -BB: 2380/3053
Crypto	2022-03-23	$2,633,664 BTCUSDT SHORTED @$43,000.00 on #Binance (23:57:37 UTC) #BTC #cryptocurrency
Crypto	2022-03-23	@MetaMatrixCoin It's a nice and amazing project, I can sense a lot of prospects behind this project.Thanks to brilliance team! @congrats_win @bestiebigwin @bigwin200 #matrixcoin #mc #matrixcoinmc #mctoken #matrixswap #btc
Crypto	2022-03-23	I need your help...plz donate me... I am bankrupt.. my store is ruined last year January please help me.. I have $96000 debt...please donate me.... My Ethereum Wallet 0x7d1043572ec65cb665c7b2639e4b50b1557b8dc4 #dubai #uae #saudi #helpme #btc #bts #donate
Crypto	2022-03-23	@SoccerFan_io Great project #TRX #airdrop #eth @rihanna @iamrobertdobbs @JeremyClarkson @RobertDowneyJr
Crypto	2022-03-23	#ETHereum #ETH impulse bar 3008.36 - 3018.12 $ETH Bar close 3012.17 #Crypto short term volatility detection
Crypto	2022-03-23	@adinross 0x429cc4491925469284BFb4858EC16CeB249194bf #eth Lets gooooo
Crypto	2022-03-23	Top 10 #Cryptocurrency Live Prices: (07:45 PM . Mar 23,2022) #BTC $42578.15 #ETH $3011.45 #BNB $407.09 #DOGE $0.13 #SHIB $0.0000244174 #AXS $57.83 #MANA $2.54 #UNI $9.94 #GM $0.0000272528 #KISHU $0.0000000015 Comments! Which coins would like to be listed?
Crypto	2022-03-23	@11MinutesNFT This will certainly be a successful project as it has a great team that is more than qualified and focused on making this project a success. #11MINUTES #BTC #CRYPTO
Crypto	2022-03-23	$2,152,795 BTCUSDT SHORTED @$43,000.00 on #Binance (23:57:38 UTC) #BTC #cryptocurrency
Crypto	2022-03-23	@MookieNFT Im curious, is anyone receiving for Real the Giveaways? I only see like this RT this for that #ETH &amp; #Sol but never saw a evidence of someone picking a winner and sending him the #crypto
Crypto	2022-03-23	"After this close above $42,600 #BTC send everything! Told y""all I expect a pump tonight. #SUSHI. #COMP #VET #FIL #XRP just send everything"
Crypto	2022-03-23	@SubQueryNetwork I believe this is a faithful project.The projector has a lot of attractions so hopefully the project will be better in the future best. I love it.. @AkiburR9 @habiburislam658 @NaimSaymon #Airdrops #BNB #BTC #cryptocurrency #ETH
Crypto	2022-03-23	Youll receive 5,533,999,777 Tomorrow MOON !! Ill be giving 5,533,999,777 in $Floki Silver to the first 3000 people who follows and retweets! Drop your $ETH wallet address #MONEY #bitcoin #eth #dogecoin #SHIB #blockchain #Litecoin #BTC #forex #crypto #cryptocurrencies
Crypto	2022-03-23	4297) Current #Bitcoin Price is $42812 #BTC #Crypto Indicators Daily: -RSI: 57.9 -MA(20): 40141 -MA(50): 40711 -MA(200): 48352 -Bollinger B. lower/upper: 37052/43231 Current #Ethereum Price is $3026 #ETH -RSI: 61.5 -MA(20): 2716 -MA(50): 2811 -MA(200): 3498 -BB: 2381/3051
Crypto	2022-03-23	@ZuriToken This is so awesome and fantastic project with a quality experience team work and it was great and amazing art work. @SuLtaNCuaN @Zubair2118 @XyzHabib #Giveaway #Giveaways #ZURITOKEN #BSC #ETH
Crypto	2022-03-23	@RealVision #iota and up and coming #astr but #eth still undervalued as are most alts
Crypto	2022-03-23	Follow me on @betfury. Let's hunt for Bitcoins together! Get an exciting experience on #1 I-Gaming platform with #BTC staking payouts!.My Username: User345107 #betfurysuccess #bitcoin #staking
Crypto	2022-03-23	Top 10 #Cryptocurrency Live Prices: (07:35 PM . Mar 23,2022) #BTC $42579.38 #ETH $3010.60 #BNB $407.20 #DOGE $0.13 #SHIB $0.0000244012 #AXS $57.65 #MANA $2.53 #UNI $9.92 #GM $0.0000272477 #KISHU $0.0000000015 Comments! Which coins would like to be listed?
Crypto	2022-03-23	@ZuriToken #ETH #ZURITOKEN #Giveaways #BSC #Crypto #Giveaway This is a very good project I hope this project will be successful and then it will become one of the best crypto, @Fereshteh021 @saeidk021 @Trexi1371 @Zizi_f1995 @Saeidk1371
Crypto	2022-03-23	@adinross 0x503f226f42Cf1965a6CB68f8ac43e5B2a475E1aE thanks sir #eth
Crypto	2022-03-23	4308) Current #Bitcoin Price is $42915 #BTC #Crypto Indicators Daily: -RSI: 58.1 -MA(20): 40146 -MA(50): 40712 -MA(200): 48352 -Bollinger B. lower/upper: 37041/43250 Current #Ethereum Price is $3036 #ETH -RSI: 61.7 -MA(20): 2716 -MA(50): 2811 -MA(200): 3498 -BB: 2380/3053
Crypto	2022-03-23	4303) Current #Bitcoin Price is $42917 #BTC #Crypto Indicators Daily: -RSI: 58.2 -MA(20): 40146 -MA(50): 40713 -MA(200): 48352 -Bollinger B. lower/upper: 37039/43253 Current #Ethereum Price is $3033 #ETH -RSI: 61.7 -MA(20): 2716 -MA(50): 2811 -MA(200): 3498 -BB: 2380/3053
Crypto	2022-03-23	Whose ready to see the rules of our first giveaway make sure to like follow and retweet #NFT #ETH #BTC #USD #NFTartist #NFTGiveaways #GiveawayAlert
Crypto	2022-03-23	#BTC $42577 $BTC #ETH $3012.43 $Eth #BNB $406.98 $Bnb
Crypto	2022-03-23	UP - MANA/USDT Price:2.55100 Bollinger Bands ALERTS FourHour Bollinger Bands Calculation: 110.56924 #BTC #FORBUSD #Bitcoin #RS #Bollinger -It is not investment advice. You can visit our profile for your own alarms. YTD. 2:58:44 AM
Crypto	2022-03-23	QUICK GIVEAWAY 0.8 $ETH for those who: 1. FOLLOW 2. RETWEET+LIKE 3. DROP YOUR $ETH ADDRESS #ETH #Giveaways #nft LETS GO GUYS!!
Crypto	2022-03-23	Top 10 #Cryptocurrency Live Prices: (07:50 PM . Mar 23,2022) #BTC $42718.35 #ETH $3018.03 #BNB $407.79 #DOGE $0.13 #SHIB $0.0000244419 #AXS $58.00 #MANA $2.55 #UNI $9.96 #GM $0.0000272906 #KISHU $0.0000000015 Comments! Which coins would like to be listed?
Crypto	2022-03-23	bitcoin looking extra bullish of late #Bitcoin #BTC
Crypto	2022-03-23	4292) Current #Bitcoin Price is $42622 #BTC #Crypto Indicators Daily: -RSI: 57.5 -MA(20): 40135 -MA(50): 40708 -MA(200): 48351 -Bollinger B. lower/upper: 37067/43202 Current #Ethereum Price is $3014 #ETH -RSI: 61.1 -MA(20): 2715 -MA(50): 2811 -MA(200): 3498 -BB: 2382/3049
Crypto	2022-03-23	The latest #bitcoin block 728722 with 739 transactions was just mined by Foundry USA Total Fees:0.00730075 Block Subsidy:6.25 #Bitcoin #BTC #blockchain #analysis
Crypto	2022-03-23	@web3_coin Nice project @ghostchaya0907 #Polygon . #Ripple. #eth
Crypto	2022-03-23	$2,633,664 BTCUSDT SHORTED @$43,000.00 on #Binance (23:57:37 UTC) #BTC #cryptocurrency
Crypto	2022-03-23	$6,080,400 $ETH LONG @$3040.2 | 03/23 23:52:47 FTX | #ETH PERP I won $3 million on the lottery this weekend so I decided to donate a quarter of it to charity. Now I have $2,999,999.75. - Suge Knight
Crypto	2022-03-23	@DogeZillarmy @Crypto_M_e_m_e ENTERED @Taliha80759816 @Kumsal06471981 @MihricanAykanat #BSC #Binance #Dogezillacoin #NFTCommunity #1000xgem #BabyDogeCoin #BTC #ETH #DOGEZILLARMY #Airdrop #NFT #BNB
Crypto	2022-03-23	@dergigi Game theory and network effects is a MF. See you all on the other side of clown world friendswhere we will dance under the orange sky #btc
Crypto	2022-03-23	$1,120,900 BTCUSD SHORTED @$42,991.3 on #Binance (23:57:35 UTC) #BTC #cryptocurrency
Crypto	2022-03-23	Top 5 #crypto prices with 24h change: #BTC #ETH #BNB #XRP #ADA $BTC $42790.29 (1.18%) $ETH $3022.21 (1.88%) $BNB $407.9 (1.07%) $XRP $0.8376 (0.22%) $ADA $1.096 (13.22%) Do you #hodl any of these coins?
Crypto	2022-03-23	Give a man a gun and he can rob the bank. Give a man a bank and he can rob the world #Hyperinflation #BTC #cryptocurrencies #Banks
Crypto	2022-03-23	4287) Current #Bitcoin Price is $42549 #BTC #Crypto Indicators Daily: -RSI: 57.0 -MA(20): 40127 -MA(50): 40705 -MA(200): 48350 -Bollinger B. lower/upper: 37084/43170 Current #Ethereum Price is $3012 #ETH -RSI: 60.9 -MA(20): 2715 -MA(50): 2811 -MA(200): 3498 -BB: 2383/3048
Crypto	2022-03-23	4290) Current #Bitcoin Price is $42535 #BTC #Crypto Indicators Daily: -RSI: 57.0 -MA(20): 40127 -MA(50): 40705 -MA(200): 48350 -Bollinger B. lower/upper: 37084/43171 Current #Ethereum Price is $3010 #ETH -RSI: 60.9 -MA(20): 2715 -MA(50): 2811 -MA(200): 3498 -BB: 2383/3048
Crypto	2022-03-23	@OceanMollu @clover_finance @clv_org I believe this is a faithful project.The projector has a lot of attractions so hopefully the project will be better in the future best. I love it.. @AkiburR9 @habiburislam658 @NaimSaymon #Airdrops #BNB #BTC #cryptocurrency #ETH
Crypto	2022-03-23	Earn free #BTC and multiply crypto up to 15% monthly with @betfury BOXes Enjoy the easy way to get cryptocurrency! Real rewards every 20 min Referral Bonuses 35% #betfurysuccess
Crypto	2022-03-23	Top 10 #Cryptocurrency Live Prices: (07:55 PM . Mar 23,2022) #BTC $42840.10 #ETH $3026.72 #BNB $408.66 #DOGE $0.13 #SHIB $0.0000245188 #AXS $57.97 #MANA $2.55 #UNI $9.97 #GM $0.0000272853 #KISHU $0.0000000014 Comments! Which coins would like to be listed?
Crypto	2022-03-23	4305) Current #Bitcoin Price is $42891 #BTC #Crypto Indicators Daily: -RSI: 58.1 -MA(20): 40145 -MA(50): 40712 -MA(200): 48352 -Bollinger B. lower/upper: 37041/43250 Current #Ethereum Price is $3031 #ETH -RSI: 61.6 -MA(20): 2716 -MA(50): 2811 -MA(200): 3498 -BB: 2380/3052
Crypto	2022-03-23	#BTC Liquidated Short: $252K at $42932.15
Crypto	2022-03-23	#ETH | Increasing 0.39% Average price for the last hour: ETHUSDT - 2983.0914
Crypto	2022-03-23	After 2 months of Grinding I FINALLY sold my first #domains. Turning a 50# purchase into a 3800$ #ROI Just as I was starting to feel like an idiot for buying all these domains. #patients #pays #ETH #Web3 #cryptocurrency #Crypto #invest #ensdomains #UnstoppableDomains #UDfam
Crypto	2022-03-23	$3,172,224 BTCUSDT SHORTED @$42,980.00 on #Binance (23:57:14 UTC) #BTC #cryptocurrency
Crypto	2022-03-23	@JumperWave $KIBA READY TO GO PARABOLIC! #KIBA #ETH @KibaInuWorld
Crypto	2022-03-23	@ZuriToken I believe this is a faithful project.The projector has a lot of attractions so hopefully the project will be better in the future and will be the best. I love it @Misugihzun182 @moonratzy @BayaJaka #Giveaway #Giveaways #ZURITOKEN #BSC #ETH
Crypto	2022-03-23	4295) Current #Bitcoin Price is $42742 #BTC #Crypto Indicators Daily: -RSI: 57.7 -MA(20): 40139 -MA(50): 40710 -MA(200): 48351 -Bollinger B. lower/upper: 37057/43221 Current #Ethereum Price is $3019 #ETH -RSI: 61.3 -MA(20): 2716 -MA(50): 2811 -MA(200): 3498 -BB: 2381/3050
